Date, Description, amount
04/30/2024, 2 207464890 4 438PEPSIVEN9147678600 562 Ritts Road ALTOO, -2.50
05/01/2024, 6 000279281 2 STARBUCKS 07822 232 W COLLEGE AVE STATECO, -5.72
05/02/2024, 7 208081717 3 PANERA BREAD #609209 K 1 East College Ave, -10.17
05/11/2024, 8 067419661 6 VENMO *JOEY DIAMOND 7700 EASTPORTPARKWAY, -15.00
05/03/2024, 8 208073978 4 STARBUCKS STORE 07822 232 West College Ave, -4.72
05/02/2024, 9 207977452 1 PANERA BREAD #609221 P 1 E College Ave UNI, -3.91
05/08/2024, TYPE: ACH ID: 1341968288 CO: FIRSTENERGY OPCO, -84.71
05/03/2024, TYPE: CRCARDPMT ID: 9541719318 CO: CAPITAL ONE NAME:LIAM J WOODS, -149.41
05/11/2024, WAWA 269 36 BALTIMORE PIKE GLEN MILLS PA, -2.28
05/15/2024, WAWA 8083 1242 W BALTIMORE P LIMA PA, -11.21
05/15/2024, WAWA 8060 1145 VIRGINIA AVE FORT WASHINGT PA, -13.15
05/15/2024, WAWA 170 721 NAAMANS RD CHADDS FORD PA, -53.61
05/15/2024, NST THE HOME DEPOT 002667 200 HATTON DRIVE GLEN MILLS, -4.53
05/16/2024, WEGMANS CONCORDVILLE #126 100 APPLIED BANK BLVD GLEN MILLS PA, -16.96
05/23/2024, SQ *SPECTRUM 440-4139 NEW SQUARE PURCHASE PHILADELPHIA PA, -25.00
05/24/2024, 0 838060337 0 LUKOIL 69702 4400 CITY LINE AVE PHILADELPH, -54.75
05/25/2024, 3 205135834 8 SQ *PILGRIM ROASTERS 4120 Main St Philadel, -6.00
05/26/2024, 1 900000053 6 JOHN S CAMPUS CORNER 829 E LANCASTER AVE V, -12.88
05/26/2024, 5 067089898 0 VENMO *EMILY WOODS 7700 EASTPORT PARKWAY 8, -37.00
05/27/2024, 9 067057855 7 VENMO *MATT WOODS 7700 EASTPORT PARKWAY 85, -70.00
05/28/2024, 4 206066140 3 SQ *PILGRIM ROASTERS 4120 Main St Philadel, -7.50
05/28/2024, WEGMANS KING #48 ONE VILLAGE DR KING OF PRUSS PA, -25.71
05/29/2024, 3 206328662 9 SQ *VOLO COFFEEHOUSE 4360 Main st PHILADEL, -6.00
05/31/2024, 7 206962357 0 SQ *PILGRIM ROASTERS 100-198 Kingsley Stre, -5.50
